index,Unnamed: 0,age,num_children,gender,reported_height,reported_weight,reported_pants_size_waist,reported_pants_size_inseam,bra_size_chest,bra_size_cup,age_range,shoe_size_us,ankle_circum,spine_to_scye_len,spine_to_elbow_len,arm_len_spine_wrist,arm_len_shoulder_wrist,arm_len_shoulder_elbow,scye_circum,chest_circum,chest_circum_below_bust,chest_circum_scye,jean_inseam,hand_len,hip_circum,hip_height,neck_circum_base,bideltoid_breadth,height,thigh_circum_proximal,u_crotch,waist_circum_preferred,waist_height_preferred,weight,biacromial_breadth,bicristal_breadth,bust_to_bust,cervical_height,chest_height,interscye_dist,acromion_height,acromion_radial_len,ankle_height_inside,ankle_height_outside,axilla_height,elbow_height,knee_height,radial_stylion_len,sleeve_inseam,sleeve_outseam,acromion_radial_stylion_len,shoulder_len,dataset
1661,16535.0,25.0,0.0,female,66.93,143.3,31.0,32.0,34.0,1.0,17-25,7.5,9.61,7.87,21.26,31.26,23.39,13.39,14.61,36.1,31.02,34.25,32.05,7.17,41.5,32.44,16.57,16.65,67.05,23.15,25.39,28.82,40.75,141.54,14.6,11.07,7.85,56.8,48.19,13.81,54.015,11.965,3.165,2.49,50.26,42.93,18.12,9.275,17.24,20.8,21.24,7.87,caesar
1672,16554.0,30.0,0.0,female,66.54,125.66,30.0,34.0,32.0,1.0,26-35,6.5,9.21,7.44,20.75,31.38,23.94,13.31,15.43,34.06,28.5,33.86,31.89,7.4,37.64,33.03,16.38,15.31,65.59,20.71,25.39,27.17,41.1,125.22,13.7,10.26,7.37,55.19,47.97,12.88,53.695,12.12,2.86,2.43,50.165,42.405,18.075,9.535,17.79,21.53,21.655,7.44,caesar
1681,16566.0,45.0,1.0,female,68.9,149.91,32.0,36.0,36.0,0.0,36-45,10.5,9.76,8.66,21.65,32.09,23.43,12.99,15.24,37.6,32.72,36.26,33.23,7.56,37.95,35.67,16.81,17.32,69.8,21.18,27.4,30.94,44.17,149.47,15.15,12.11,8.43,59.66,50.1,15.56,57.405,13.185,3.68,3.02,52.435,44.64,19.505,9.675,17.6,22.56,22.86,8.66,caesar
1682,16567.0,40.0,3.0,female,69.29,165.35,34.0,36.0,36.0,1.0,36-45,10.5,9.45,8.35,22.05,32.87,24.53,13.7,15.63,36.54,33.07,36.14,33.5,7.64,43.5,33.07,16.14,17.32,68.9,24.06,27.8,30.87,42.83,158.73,14.9,12.49,7.61,59.4,50.55,15.23,56.74,13.445,3.36,2.87,52.635,43.9,18.875,9.755,18.305,22.79,23.2,8.34,caesar
1687,16571.0,20.0,0.0,female,71.26,149.91,30.0,34.0,34.0,2.0,17-25,11.5,10.08,7.87,21.73,32.09,24.21,13.86,15.59,37.09,31.65,36.18,34.09,7.64,40.04,33.78,17.87,17.44,70.39,22.44,29.13,31.69,40.16,145.51,15.67,11.22,7.57,59.48,50.7,15.38,56.795,12.98,3.1,2.495,52.85,44.38,19.56,9.845,18.365,22.585,22.825,7.88,caesar
1690,16578.0,26.0,0.0,female,66.14,154.32,31.0,32.0,34.0,1.0,26-35,8.5,9.25,8.07,20.31,30.12,22.05,12.24,16.61,37.2,30.83,34.53,31.57,7.17,42.76,32.36,17.32,16.77,66.54,26.1,28.11,29.02,41.57,162.92,13.63,11.96,8.45,56.47,47.63,12.82,55.18,11.305,3.265,2.62,50.94,44.815,17.915,8.805,15.765,20.18,20.11,8.07,caesar
1691,16579.0,25.0,0.0,female,63.39,127.87,32.0,30.0,32.0,3.0,17-25,7.5,9.09,7.8,20.28,29.41,21.61,12.48,14.17,34.25,27.83,32.99,29.49,6.97,39.37,30.75,16.46,17.32,63.74,21.26,26.77,27.36,40.2,126.55,13.72,10.73,7.85,53.55,44.94,14.34,51.82,11.905,2.94,2.31,47.915,40.75,16.81,8.41,16.0,20.13,20.315,7.8,caesar
1695,16582.0,37.0,2.0,female,68.5,171.96,33.0,33.0,32.0,1.0,36-45,8.5,9.96,7.48,21.46,32.32,24.84,13.98,16.02,37.68,33.27,37.83,33.19,7.6,43.94,34.29,16.54,16.81,67.83,27.17,29.13,30.98,43.74,174.83,14.48,11.78,7.99,57.98,49.07,15.7,55.695,12.795,3.405,2.915,51.1,43.92,18.77,10.15,18.23,22.835,22.945,7.48,caesar
1700,16588.0,22.0,0.0,female,70.08,132.28,30.0,34.0,36.0,1.0,17-25,9.5,9.84,7.72,21.26,31.61,23.9,13.54,14.57,35.91,30.16,35.04,34.37,7.68,38.03,34.96,16.3,15.79,69.57,21.42,26.22,28.54,44.25,134.26,15.1,12.04,7.33,58.52,51.27,13.71,56.03,12.32,3.155,2.555,52.485,44.01,19.56,9.74,18.185,21.73,22.06,7.71,caesar
1708,16596.0,23.0,0.0,female,62.99,121.25,29.0,30.0,34.0,2.0,17-25,7.5,9.09,7.48,19.37,29.53,22.05,11.89,14.33,36.81,30.67,33.66,30.94,6.81,38.15,32.13,16.02,16.02,63.5,21.46,23.39,29.88,39.65,125.66,12.91,11.05,8.23,53.39,44.32,13.97,51.53,11.935,2.615,2.365,47.87,40.275,17.315,8.885,16.795,21.01,20.82,7.48,caesar
